;VARIANZAS;RANGOS;SMAS;PROMEDIOS;SILIBANCIAS;ESTERTORES
86;3.22E-05;0.06126;0.012996;9.62E-08;0;0
87;2.22E-05;0.05026;0.010388;6.18E-08;0;0
88;2.31E-05;0.04809;0.012418;7.03E-08;0;0
89;1.57E-05;0.04716;0.010915;4.53E-08;0;0
90;1.73E-05;0.05513;0.012109;5.28E-08;0;0
91;1.52E-05;0.05004;0.011142;4.49E-08;0;0
92;1.87E-05;0.05039;0.011101;5.58E-08;0;0
93;1.88E-05;0.05693;0.010193;5.76E-08;0;0
94;2.28E-05;0.04283;0.009932;6.66E-08;0;0
95;;;;;;
96;1.13E-05;0.03719;0.009721;3.38E-08;0;0
97;2.13E-05;0.03753;0.010839;6.28E-08;0;0
98;8.25E-06;0.04056;0.008151;2.49E-08;0;0
99;1.31E-05;0.03236;0.008445;3.83E-08;0;0
100;1.28E-05;0.03065;0.008619;3.76E-08;0;0
101;4.77E-06;0.03871;0.009228;1.40E-08;0;0
102;5.01E-06;0.02745;0.008005;1.48E-08;0;0
103;7.69E-06;0.02707;0.006943;2.24E-08;0;0
104;5.36E-06;0.03078;0.007111;1.60E-08;0;0
105;6.14E-06;0.02926;0.005603;1.77E-08;0;0
106;;;;;;
107;0.000320692;0.16438;0.011915;9.44E-07;0;0
108;0.000273513;0.1549;0.013576;8.16E-07;0;0
109;0.000202102;0.14118;0.011348;5.97E-07;0;0
110;0.000240813;0.14474;0.010663;7.13E-07;0;0
111;0.000199602;0.16348;0.011154;5.86E-07;0;0
112;0.00021141;0.14772;0.009545;6.27E-07;0;0
113;0.000127087;0.11859;0.010065;3.78E-07;0;0
114;8.14E-05;0.11266;0.009816;2.42E-07;0;0
115;;;;;;
116;5.00E-05;0.07216;0.020446;1.46E-07;1;0
117;6.03E-05;0.09375;0.024849;1.80E-07;1;0
118;2.66E-05;0.06869;0.016859;7.58E-08;0;0
119;5.81E-05;0.08546;0.021491;1.65E-07;1;0
120;7.78E-05;0.07753;0.020939;2.33E-07;1;0
121;9.73E-05;0.08589;0.021849;2.80E-07;1;0
122;8.31E-05;0.08364;0.024498;2.46E-07;1;0
123;8.44E-05;0.08186;0.024012;2.41E-07;1;0
124;0.000133331;0.08201;0.018521;3.93E-07;1;0
125;;;;;;
126;0.000172847;0.15107;0.033738;4.35E-07;0;1
127;0.000238552;0.13031;0.026471;6.62E-07;0;1
128;0.000105203;0.1117;0.030078;3.08E-07;0;0
129;0.000232993;0.14028;0.036328;6.97E-07;0;1
130;0.000269284;0.13473;0.042784;8.10E-07;0;1
131;0.000332888;0.14601;0.044225;1.00E-06;0;1
132;0.000212405;0.14078;0.043161;6.31E-07;0;1
133;0.000235701;0.14777;0.043402;7.01E-07;0;1
134;0.000489788;0.15926;0.039831;1.43E-06;0;0
135;;;;;;
136;0.001772325;0.32449;0.079402;5.28E-06;1;0
137;0.00267923;0.60503;0.127381;7.78E-06;1;0
138;0.003099895;0.56008;0.181275;9.24E-06;1;0
139;0.003041285;0.48115;0.118941;9.02E-06;1;0
140;0.002434173;0.47763;0.119463;7.23E-06;1;0
141;0.003417162;0.51536;0.123856;9.98E-06;1;0
142;0.002380735;0.47172;0.106076;7.10E-06;1;0
143;0.003354084;0.46636;0.119949;1.01E-05;0;0
144;;;;;;
145;0.00269774;0.48924;0.117411;7.95E-06;1;0
146;0.002454204;0.49989;0.117604;7.14E-06;1;1
147;0.002552854;0.53124;0.162625;7.56E-06;1;1
148;0.003363099;0.53588;0.13504;9.81E-06;1;1
149;0.002493439;0.50263;0.109231;7.19E-06;1;1
150;0.003476621;0.59119;0.141643;1.03E-05;1;1
151;0.002970129;0.56269;0.128755;8.69E-06;1;1
152;0.003541156;0.54412;0.112216;1.06E-05;1;1
153;;;;;;
154;0.001105067;0.30426;0.087555;3.21E-06;1;0
155;0.001296494;0.37386;0.094998;3.85E-06;1;0
156;0.001473154;0.40962;0.124504;4.34E-06;1;0
157;0.001251835;0.37218;0.087184;3.76E-06;1;0
158;0.001010517;0.31692;0.087768;3.02E-06;1;0
159;0.001607938;0.38053;0.106377;4.60E-06;1;0
160;0.001113248;0.3135;0.082999;3.34E-06;1;0
161;0.001507793;0.35446;0.074458;4.46E-06;1;0
162;;;;;;
163;0.000751559;0.20554;0.05767;2.19E-06;0;0
164;0.001149868;0.29815;0.080658;3.42E-06;1;0
165;0.001116957;0.41099;0.10228;3.21E-06;1;0
166;0.001073525;0.32407;0.119256;3.20E-06;1;0
167;0.001200023;0.37214;0.103746;3.57E-06;1;0
168;0.001240333;0.32934;0.094632;3.71E-06;1;0
169;0.001854343;0.41458;0.102307;5.44E-06;1;0
170;0.002369564;0.43474;0.112071;7.14E-06;1;0
171;;;;;;
172;0.012469102;1.12348;0.203474;3.74E-05;0;0
173;0.006180625;0.97054;0.176416;1.82E-05;0;0
174;0.018619733;1.13058;0.232653;5.46E-05;0;0
175;0.013178943;1.04726;0.24466;3.82E-05;0;0
176;0.015195767;1.12505;0.243042;4.36E-05;0;0
177;0.019625018;1.12546;0.241263;5.91E-05;0;0
178;0.009993656;1.10859;0.2532;3.02E-05;0;0
179;0.020457901;1.22643;0.23933;6.20E-05;0;0
180;;;;;;
181;0.006163078;0.95709;0.189369;1.80E-05;0;0
182;0.006239742;1.0371;0.235886;1.80E-05;1;0
183;0.010184169;0.96351;0.218921;3.02E-05;1;1
184;0.008144223;0.83413;0.175972;2.40E-05;0;0
185;0.008654092;1.16363;0.199947;2.58E-05;1;0
186;0.008003752;0.79765;0.166457;2.37E-05;1;1
187;0.009042524;1.01295;0.206917;2.68E-05;1;0
188;0.013773356;0.96813;0.191865;4.11E-05;1;1
189;;;;;;
190;0.000444132;0.20182;0.04231;1.31E-06;0;0
191;0.00039138;0.22062;0.055655;1.13E-06;0;0
192;0.000466688;0.19997;0.033611;1.38E-06;0;0
193;0.000478155;0.19782;0.046525;1.40E-06;1;0
194;0.000454182;0.19893;0.041657;1.34E-06;0;0
195;0.000548893;0.22728;0.041242;1.60E-06;0;0
196;0.00062577;0.26333;0.055125;1.86E-06;0;0
197;0.000571636;0.21306;0.036852;1.70E-06;1;0
198;;;;;;
199;0.002688773;0.46726;0.106679;7.85E-06;1;0
200;0.002455272;0.49575;0.124488;7.32E-06;1;0
201;0.00185085;0.42489;0.089174;5.37E-06;1;1
202;0.001918895;0.43113;0.099545;5.69E-06;1;0
203;0.001789256;0.37718;0.086099;5.17E-06;0;1
204;0.002111818;0.38792;0.112237;6.19E-06;1;0
205;0.002423046;0.45012;0.126061;7.23E-06;1;0
206;0.003208382;0.3995;0.132548;9.34E-06;1;0
207;;;;;;
208;0.002350595;0.44913;0.111401;6.97E-06;1;0
209;0.002614858;0.45901;0.120441;7.87E-06;1;0
210;0.001902728;0.47724;0.103791;5.37E-06;1;0
211;0.002339553;0.46994;0.136366;6.70E-06;1;0
212;0.002294812;0.5739;0.123008;6.72E-06;1;0
213;0.0023864;0.49349;0.121285;6.99E-06;1;0
214;0.002366975;0.4832;0.111733;6.91E-06;1;0
215;0.002476164;0.48629;0.124162;7.67E-06;1;0
216;;;;;;
217;0.000846563;0.2614;0.071604;2.45E-06;1;0
218;0.000962545;0.28452;0.088989;2.83E-06;1;0
219;0.000710072;0.28853;0.085878;2.08E-06;1;0
220;0.000790803;0.28647;0.061676;2.33E-06;1;0
221;0.000734105;0.26645;0.07724;2.15E-06;1;0
222;0.000917891;0.30026;0.086379;2.72E-06;1;0
223;0.000958996;0.29172;0.068438;2.87E-06;1;0
224;0.001406119;0.29674;0.074838;4.24E-06;1;0
225;;;;;;
226;0.000999389;0.33554;0.09435;2.94E-06;1;0
227;0.001004008;0.27035;0.076495;2.96E-06;1;0
228;0.001183461;0.33799;0.08602;3.45E-06;1;0
229;0.001108873;0.32457;0.072657;3.26E-06;1;0
230;0.001235102;0.31398;0.106199;3.69E-06;1;0
231;0.001161329;0.37549;0.107569;3.48E-06;1;0
232;0.001052589;0.28236;0.083849;3.07E-06;1;0
233;0.002440231;0.33382;0.087161;7.28E-06;1;0
234;;;;;;
235;0.002274612;0.47364;0.104192;6.71E-06;1;0
236;0.002348759;0.5236;0.119138;6.83E-06;0;0
237;0.002331261;0.52284;0.106537;6.97E-06;1;0
238;0.002076518;0.50466;0.116463;6.14E-06;0;0
239;0.002463013;0.51659;0.1142;7.38E-06;0;0
240;0.003427386;0.51702;0.107605;1.04E-05;1;0
241;0.003435206;0.53274;0.121695;1.03E-05;0;0
242;0.003254758;0.45406;0.114748;9.72E-06;0;0
243;;;;;;
244;0.005981341;0.7292;0.161549;1.76E-05;1;0
245;0.006135806;0.73174;0.178828;1.77E-05;1;0
246;0.006787817;0.72537;0.170743;1.99E-05;1;0
247;0.005335776;0.72404;0.194373;1.55E-05;1;0
248;0.006009746;0.7591;0.176725;1.74E-05;1;0
249;0.007856892;0.89895;0.189016;2.35E-05;1;0
250;0.006813268;0.77915;0.182919;2.01E-05;1;0
251;0.010409858;0.78781;0.214531;3.19E-05;1;0
252;;;;;;
253;0.000762506;0.28333;0.04712;2.24E-06;0;0
254;0.000914301;0.29973;0.053043;2.67E-06;0;0
255;0.000656149;0.28679;0.050617;1.93E-06;0;0
256;0.000508024;0.21598;0.032233;1.51E-06;0;0
257;0.000714478;0.25833;0.047961;2.11E-06;0;0
258;0.000798195;0.2874;0.055587;2.36E-06;0;0
259;0.000847469;0.27088;0.055109;2.49E-06;0;0
260;0.000814304;0.23041;0.03872;2.47E-06;0;0
261;;;;;;
262;0.001900264;0.41075;0.102245;5.63E-06;0;0
263;0.002353078;0.44926;0.115608;6.97E-06;1;0
264;0.003005394;0.49308;0.124616;8.92E-06;1;0
265;0.002949896;0.44838;0.122991;8.57E-06;1;0
266;0.002937101;0.54879;0.123117;8.77E-06;1;0
267;0.002594418;0.48926;0.125992;7.58E-06;1;0
268;0.002190677;0.45215;0.10938;6.37E-06;1;0
269;0.002395883;0.4937;0.122042;7.19E-06;1;0
270;;;;;;
271;0.001134733;0.23452;0.074043;3.29E-06;0;0
272;0.000587885;0.25333;0.071456;1.67E-06;0;0
273;0.001059834;0.26031;0.069551;3.02E-06;1;0
274;0.001105906;0.27827;0.071035;3.34E-06;0;0
275;0.001141405;0.2876;0.068504;3.29E-06;1;1
276;0.000756146;0.26121;0.063101;2.16E-06;1;0
277;0.000558722;0.25178;0.06334;1.64E-06;0;0
278;0.00034257;0.26492;0.071589;1.03E-06;0;1
279;;;;;;
280;0.000545571;0.23674;0.071526;1.62E-06;0;0
281;0.000929997;0.34118;0.087453;2.71E-06;1;0
282;0.001194377;0.28959;0.078051;3.50E-06;1;0
283;0.001307707;0.38115;0.105334;3.89E-06;1;0
284;0.001320811;0.39147;0.096703;3.95E-06;1;0
285;0.001127313;0.33464;0.094786;3.35E-06;1;0
286;0.000807277;0.29858;0.082078;2.38E-06;0;0
287;0.00094838;0.33656;0.083584;2.94E-06;1;0
288;;;;;;
289;0.001024119;0.36151;0.118512;3.06E-06;0;0
290;0.002370197;0.51884;0.116419;7.00E-06;1;0
291;0.002630879;0.56095;0.16631;7.84E-06;1;0
292;0.002756055;0.51667;0.150724;8.19E-06;1;0
293;0.00308047;0.5041;0.139277;9.22E-06;1;0
294;0.003191644;0.546;0.17757;9.60E-06;1;0
295;0.003025419;0.5111;0.136598;9.02E-06;1;0
296;0.003010078;0.50325;0.134634;8.88E-06;1;0
297;;;;;;
298;0.005089936;0.71013;0.146095;1.53E-05;0;0
299;0.010638491;0.88635;0.17113;3.09E-05;0;0
300;0.014804446;0.92878;0.179247;4.35E-05;0;0
301;0.01193793;0.91919;0.230206;3.47E-05;0;0
302;0.006151024;0.78097;0.143976;1.77E-05;0;0
303;0.011750457;1.05545;0.195506;3.48E-05;0;0
304;0.005157509;0.92605;0.189682;1.55E-05;0;0
305;0.006414939;0.96914;0.177805;1.88E-05;0;0
306;;;;;;
307;0.008920585;0.87405;0.218554;2.68E-05;0;0
308;0.012452621;1.00623;0.206025;3.65E-05;1;0
309;0.012807874;1.13896;0.216404;3.86E-05;0;0
310;0.012440882;1.02822;0.252184;3.70E-05;1;0
311;0.006401871;1.01662;0.220296;1.88E-05;1;0
312;0.009064273;0.91455;0.19757;2.65E-05;0;0
313;0.009297633;1.02263;0.21807;2.69E-05;1;0
314;0.008482068;0.88467;0.200145;2.51E-05;1;1
315;;;;;;
316;0.000832389;0.26564;0.054753;2.42E-06;0;0
317;0.000818892;0.30799;0.072935;2.36E-06;0;0
318;0.001138567;0.33965;0.069501;3.42E-06;1;0
319;0.001246212;0.34799;0.074172;3.66E-06;1;0
320;0.001036802;0.3271;0.064651;3.05E-06;0;0
321;0.001247065;0.31746;0.068105;3.76E-06;0;0
322;0.001075146;0.31807;0.048635;3.26E-06;0;0
323;0.000933174;0.30081;0.052131;2.79E-06;0;0
324;;;;;;
325;0.000552381;0.23202;0.055214;1.64E-06;1;1
326;0.000718564;0.23044;0.057888;2.20E-06;1;1
327;0.000583582;0.2669;0.062192;1.71E-06;1;1
328;0.000696125;0.24052;0.069755;2.03E-06;1;0
329;0.000419955;0.21481;0.051933;1.21E-06;1;0
330;0.000521033;0.23859;0.061023;1.47E-06;1;0
331;0.000631071;0.23541;0.05629;1.75E-06;1;0
332;0.000657708;0.26119;0.060084;1.95E-06;1;0
333;0.00119812;0.23285;0.060475;3.65E-06;1;0
334;;;;;;
335;0.000482156;0.21781;0.058527;1.44E-06;0;1
336;0.00058924;0.22064;0.054884;1.71E-06;0;1
337;0.000508455;0.26054;0.07033;1.50E-06;0;1
338;0.000486612;0.2649;0.07208;1.39E-06;1;1
339;0.000510628;0.2351;0.070154;1.54E-06;0;1
340;0.000561436;0.2037;0.052333;1.64E-06;1;1
341;0.000796624;0.24508;0.071161;2.34E-06;1;1
342;0.000764754;0.24682;0.064835;2.17E-06;1;1
343;0.001179709;0.26581;0.073342;3.65E-06;0;1
344;;;;;;
345;0.000133951;0.13741;0.030992;4.02E-07;1;0
346;0.000135863;0.14267;0.025;4.04E-07;1;0
347;0.000125999;0.12614;0.028367;3.64E-07;1;0
348;0.000123384;0.10981;0.020317;3.65E-07;1;0
349;0.000164257;0.1276;0.030491;4.79E-07;1;0
350;0.000134202;0.10951;0.02633;3.99E-07;1;0
351;0.000144025;0.13231;0.029907;4.27E-07;1;0
352;0.000141941;0.11341;0.023396;4.20E-07;1;0
353;0.000223032;0.15908;0.029797;6.63E-07;1;0
354;;;;;;
355;0.000236098;0.16682;0.039307;6.99E-07;0;1
356;0.000255413;0.14508;0.031249;7.58E-07;0;1
357;0.000165574;0.14812;0.037378;4.82E-07;0;1
358;0.00020369;0.1363;0.034515;6.03E-07;0;1
359;0.000211881;0.14022;0.026938;6.16E-07;0;1
360;0.000184385;0.14203;0.031335;5.45E-07;1;0
361;0.000175448;0.14644;0.031092;5.12E-07;1;0
362;0.000176707;0.14944;0.038754;5.23E-07;1;0
363;0.000207983;0.1151;0.026325;6.21E-07;1;1
364;;;;;;
365;0.000279463;0.19217;0.042812;8.25E-07;1;0
366;0.000300298;0.16568;0.043681;8.72E-07;1;0
367;0.000242176;0.16247;0.043379;7.08E-07;1;0
368;0.000267156;0.17807;0.039798;7.67E-07;1;0
369;0.000320646;0.16773;0.044927;9.45E-07;1;0
370;0.000234658;0.15814;0.050815;6.79E-07;1;0
371;0.000289174;0.19403;0.044781;8.40E-07;1;0
372;0.000281886;0.16856;0.040686;8.12E-07;1;0
373;0.00047849;0.19862;0.04816;1.42E-06;1;0
374;;;;;;
375;0.000300033;0.19179;0.044111;8.66E-07;1;1
376;0.000372857;0.20204;0.052383;1.09E-06;1;1
377;0.000364666;0.20327;0.051905;1.06E-06;1;1
378;0.000423262;0.20229;0.045893;1.27E-06;1;1
379;0.000336037;0.1922;0.054473;1.01E-06;1;1
380;0.000274509;0.18203;0.039937;8.26E-07;1;0
381;0.000365523;0.19608;0.060368;1.00E-06;1;0
382;0.000452612;0.23775;0.05554;1.33E-06;1;0
383;0.000504461;0.17473;0.042946;1.52E-06;1;0
384;;;;;;
385;0.003653195;0.58091;0.136294;1.09E-05;1;1
386;0.004301601;0.60396;0.115779;1.29E-05;1;1
387;0.002499328;0.52576;0.114443;7.35E-06;1;1
388;0.002240097;0.43174;0.099718;6.53E-06;1;1
389;0.002301558;0.54524;0.117648;6.63E-06;1;1
390;0.002817011;0.5444;0.132202;8.39E-06;1;1
391;0.002834026;0.49967;0.115622;8.33E-06;0;1
392;0.002612635;0.44401;0.094414;7.81E-06;0;1
393;0.004014465;0.52738;0.106928;1.19E-05;0;0
394;;;;;;
395;5.46E-06;0.02321;0.007554;1.57E-08;0;0
396;8.36E-06;0.03054;0.007428;2.42E-08;0;0
397;8.40E-06;0.02544;0.008076;2.46E-08;0;0
398;6.89E-06;0.02219;0.007052;2.04E-08;0;0
399;6.31E-06;0.02669;0.007134;1.87E-08;0;0
400;4.01E-06;0.0235;0.005785;1.19E-08;0;0
401;3.79E-06;0.02477;0.006142;1.12E-08;0;0
402;4.43E-06;0.0238;0.006062;1.36E-08;0;0
403;;;;;;
404;4.22E-06;0.02434;0.006191;1.18E-08;0;0
405;5.88E-06;0.02293;0.006782;1.72E-08;0;0
406;4.29E-06;0.0217;0.004436;1.28E-08;0;0
407;4.86E-06;0.02346;0.005662;1.48E-08;0;0
408;4.51E-06;0.02141;0.004736;1.34E-08;0;0
409;4.87E-06;0.02295;0.005321;1.44E-08;0;0
410;4.63E-06;0.02084;0.004916;1.36E-08;0;0
411;5.35E-06;0.02328;0.005718;1.46E-08;0;0
412;5.42E-06;0.02119;0.006593;1.48E-08;0;0
413;;;;;;
414;4.40E-06;0.02106;0.005945;1.33E-08;0;0
415;3.52E-06;0.01929;0.005011;1.06E-08;0;0
416;4.06E-06;0.02105;0.004988;1.21E-08;0;0
417;3.58E-06;0.01926;0.004296;1.05E-08;0;0
418;3.95E-06;0.01701;0.004287;1.18E-08;0;0
419;4.55E-06;0.02571;0.006155;1.35E-08;0;0
420;3.91E-06;0.02025;0.006185;1.14E-08;0;0
421;3.34E-06;0.0244;0.004231;9.82E-09;0;0
422;5.44E-06;0.02232;0.005041;1.63E-08;0;0
423;3.73E-06;0.02115;0.003435;1.08E-08;0;0
424;;;;;;
425;5.83E-06;0.02599;0.008558;1.67E-08;0;0
426;8.28E-06;0.02734;0.006039;2.41E-08;1;0
427;7.44E-06;0.02846;0.007807;2.16E-08;1;0
428;8.10E-06;0.03001;0.006979;2.38E-08;1;0
429;7.48E-06;0.02717;0.006346;2.26E-08;1;0
430;7.07E-06;0.02873;0.005711;2.06E-08;1;0
431;8.10E-06;0.03119;0.006127;2.38E-08;1;0
432;3.43E-06;0.02273;0.005495;1.01E-08;1;0
433;;;;;;
434;9.56E-06;0.03398;0.008265;2.86E-08;1;0
435;8.49E-06;0.03291;0.008804;2.47E-08;1;0
436;1.05E-05;0.03171;0.010947;3.17E-08;1;0
437;1.15E-05;0.0345;0.009401;3.34E-08;1;0
438;1.16E-05;0.0331;0.008279;3.47E-08;1;0
439;1.27E-05;0.03271;0.008085;3.69E-08;1;0
440;1.69E-05;0.03977;0.008753;4.99E-08;1;0
441;9.78E-06;0.02422;0.005462;2.35E-08;1;0
442;;;;;;
443;1.43E-05;0.04017;0.011218;3.95E-08;0;0
444;1.39E-05;0.03765;0.013133;4.01E-08;0;0
445;1.20E-05;0.03397;0.008541;3.38E-08;0;0
446;1.21E-05;0.03763;0.008514;3.46E-08;0;0
447;1.46E-05;0.04763;0.009507;4.29E-08;0;0
448;1.59E-05;0.04121;0.008654;4.70E-08;0;0
449;1.27E-05;0.03812;0.010434;3.72E-08;0;0
450;1.35E-05;0.03514;0.009612;4.11E-08;0;0
451;1.41E-05;0.02832;0.008107;3.90E-08;0;0
452;;;;;;
453;1.11E-05;0.02574;0.006207;3.29E-08;0;0
454;8.44E-06;0.0301;0.008694;2.49E-08;0;0
455;8.06E-06;0.02743;0.00667;2.35E-08;0;0
456;7.38E-06;0.02536;0.007703;2.19E-08;0;0
457;8.07E-06;0.02582;0.007037;2.36E-08;0;0
458;7.81E-06;0.02831;0.007187;2.33E-08;0;0
459;7.60E-06;0.02603;0.005963;2.24E-08;0;0
460;3.33E-06;0.02942;0.007793;1.03E-08;0;0
461;5.53E-06;0.02539;0.005896;1.63E-08;0;0
462;8.14E-06;0.02806;0.006031;2.47E-08;0;0
463;6.44E-06;0.03022;0.00867;1.95E-08;0;0
464;5.65E-06;0.02052;0.004608;1.68E-08;0;0
465;6.87E-06;0.02894;0.006488;2.05E-08;0;0
466;5.33E-06;0.02004;0.004416;1.60E-08;0;0
467;4.84E-06;0.02409;0.004986;1.41E-08;0;0
468;5.62E-06;0.02622;0.005773;1.66E-08;0;0
469;8.57E-06;0.02618;0.006156;2.47E-08;0;0
470;;;;;;
471;4.84E-05;0.07906;0.025493;1.41E-07;1;0
472;3.72E-05;0.07647;0.023655;1.09E-07;1;0
473;9.68E-05;0.08525;0.028039;2.83E-07;0;0
474;8.40E-05;0.07974;0.030112;2.47E-07;0;0
475;3.81E-05;0.08349;0.025468;1.13E-07;0;0
476;4.29E-05;0.0823;0.022679;1.28E-07;0;0
477;3.15E-05;0.07293;0.028003;9.36E-08;0;0
478;4.87E-05;0.09121;0.027211;1.45E-07;0;0
479;4.70E-05;0.07824;0.024526;1.35E-07;0;0
480;7.86E-05;0.09672;0.024293;2.28E-07;0;0
481;8.67E-05;0.08301;0.020322;2.55E-07;0;0
482;5.29E-05;0.08369;0.018078;1.56E-07;0;0
483;2.73E-05;0.0605;0.005462;7.84E-08;0;0
484;4.14E-05;0.0813;0.018685;1.22E-07;0;0
485;2.52E-05;0.06451;0.01507;7.12E-08;0;0
486;;;;;;
487;0.000199959;0.12941;0.038352;5.81E-07;1;1
488;0.000179693;0.16438;0.049328;5.25E-07;1;1
489;0.000157578;0.13544;0.036984;4.69E-07;1;1
490;0.000165715;0.15475;0.040146;4.82E-07;1;0
491;0.000155132;0.15164;0.044893;4.55E-07;0;0
492;0.000167097;0.14965;0.040919;4.83E-07;1;0
493;0.000165863;0.15925;0.044819;4.80E-07;1;0
494;;;;;;
495;0.000390038;0.20649;0.055702;1.14E-06;0;1
496;0.000228464;0.14165;0.037632;6.80E-07;0;1
497;0.000194558;0.13155;0.033416;5.76E-07;0;0
498;0.000211392;0.256;0.059672;6.23E-07;0;0
499;0.000194245;0.1526;0.044738;5.64E-07;0;1
500;0.000179745;0.14212;0.028929;5.23E-07;0;0
501;0.000188253;0.12215;0.038463;5.04E-07;0;0
502;;;;;;
503;0.000235071;0.15446;0.037373;6.92E-07;1;0
504;0.000211696;0.13612;0.034275;6.18E-07;1;0
505;0.000133377;0.12169;0.027642;3.71E-07;1;0
506;0.000167899;0.13111;0.041724;4.95E-07;1;0
507;0.000158193;0.12122;0.033124;4.62E-07;1;0
508;0.000175659;0.16289;0.032737;5.12E-07;1;0
509;0.000179327;0.11859;0.035825;5.15E-07;1;0
